# wkgb/4kqp_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    99     22 20.000 |  9.033  8.430 10.000       2     10     10   0.764
    99     26 19.000 |  8.831  8.079 10.000       4     14     14   0.737
    99     32 18.000 |  8.619  7.795 10.000       4     15     16   0.769
    99     36 17.000 |  8.457  7.545 10.000       6     17     18   0.721
    99     52 16.000 |  7.769  6.644 10.000      10     21     22   0.647
    99     72 15.000 |  7.025  5.759  6.119      12     25     27   0.630
    99    104 14.000 |  5.870  4.455  3.639      20     36     38   0.556
    99    128 13.000 |  4.937  3.499  1.928      22     44     48   0.660
    99    165 12.000 |  3.818  2.469  0.960      28     53     61   0.649
    99    194 11.000 |  3.393  2.111  0.835      29     59     67   0.654
    99    238 10.000 |  2.962  1.824  0.763      31     62     70   0.648
    99    313  9.000 |  1.928  1.202  0.676      34     73     81   0.648
    99    385  8.000 |  1.360  0.922  0.676      34     75     87   0.686
    99    487  7.000 |  0.943  0.778  0.670      35     76     89   0.694
    99    621  6.000 |  0.810  0.697  0.658      36     82     93   0.669
    99    799  5.000 |  0.747  0.660  0.612      36     85     97   0.645
    99   1013  4.000 |  0.743  0.657  0.612      36     85     97   0.657
    99   1282  3.000 |  0.743  0.657  0.612      36     85     97   0.657
    99   1664  2.000 |  0.718  0.644  0.612      36     86     98   0.644
    99   1666  1.000 |  0.718  0.644  0.612      36     86     98   0.644
    99   1666  0.000 |  0.718  0.644  0.612      36     86     98   0.644
#
