# wkgb/3qr7_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    20      1 20.000 |  9.747  9.524 10.000       1      1      1   0.476
    20      3 19.000 |  9.527  9.281 10.000       1      1      1   0.476
    20      5 18.000 |  8.996  8.410 10.000       1      1      3   1.022
    20      5 17.000 |  8.996  8.410 10.000       1      1      3   1.022
    20      5 16.000 |  8.996  8.410 10.000       1      1      3   1.022
    20      5 15.000 |  8.996  8.410 10.000       1      1      3   1.022
    20      8 14.000 |  8.920  8.337 10.000       1      1      3   1.022
    20     14 13.000 |  8.621  7.828 10.000       2      2      4   0.886
    20     23 12.000 |  8.039  7.109  9.460       2      2      5   0.923
    20     41 11.000 |  6.701  5.315  5.779       4      5      8   0.753
    20     67 10.000 |  4.659  3.504  1.747       4      6      9   0.921
    20     97  9.000 |  3.928  2.764  1.152       5      8     11   0.831
    20    148  8.000 |  2.925  2.056  1.085       6      9     13   0.780
    20    210  7.000 |  2.010  1.328  0.667       8     12     16   0.723
    20    313  6.000 |  0.769  0.670  0.478      11     15     20   0.670
    20    451  5.000 |  0.725  0.640  0.478      11     16     20   0.640
    20    684  4.000 |  0.725  0.640  0.478      11     16     20   0.640
    20    972  3.000 |  0.725  0.640  0.478      11     16     20   0.640
    20   1432  2.000 |  0.725  0.640  0.478      11     16     20   0.640
    20   1436  1.000 |  0.725  0.640  0.478      11     16     20   0.640
    20   1436  0.000 |  0.725  0.640  0.478      11     16     20   0.640
#
