# watGNN/1muw_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   118     54 95.000 |  7.698  6.261 10.000      34     35     38   0.319
   118     86 90.000 |  6.555  4.823  3.738      45     49     52   0.329
   118    120 85.000 |  5.476  3.721  1.079      53     58     62   0.330
   118    160 80.000 |  4.431  2.871  0.714      56     62     67   0.384
   118    208 75.000 |  3.910  2.394  0.523      59     68     74   0.450
   118    248 70.000 |  3.367  1.958  0.489      60     75     81   0.446
   118    283 65.000 |  2.948  1.645  0.441      63     80     86   0.464
   118    323 60.000 |  2.736  1.498  0.407      65     82     89   0.453
   118    367 55.000 |  2.456  1.314  0.362      66     85     93   0.462
   118    412 50.000 |  2.057  1.136  0.340      68     87     95   0.460
   118    460 45.000 |  1.889  1.071  0.340      68     87     95   0.473
   118    529 40.000 |  1.628  0.950  0.340      69     89     97   0.476
   118    595 35.000 |  1.439  0.872  0.340      69     90     98   0.480
   118    664 30.000 |  1.391  0.841  0.340      70     91     99   0.480
   118    773 25.000 |  1.248  0.767  0.340      70     93    102   0.494
   118    900 20.000 |  0.958  0.637  0.340      70     96    107   0.498
   118   1061 15.000 |  0.949  0.634  0.340      70     96    107   0.498
   118   1197 10.000 |  0.894  0.614  0.340      70     97    107   0.507
   118   1348  5.000 |  0.887  0.611  0.340      70     97    107   0.507
   118   1769  0.000 |  0.760  0.557  0.340      70     98    110   0.514
#
