# watGNN/1tqg_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    18      3 95.000 |  9.129  8.374 10.000       3      3      3   0.244
    18      5 90.000 |  8.808  7.963 10.000       3      3      3   0.244
    18     14 85.000 |  7.616  6.543  8.298       3      4      4   0.367
    18     24 80.000 |  6.929  5.552  6.466       5      6      6   0.406
    18     31 75.000 |  5.042  3.544  1.909       6      7      9   0.552
    18     43 70.000 |  4.910  3.301  1.134       6      8     10   0.548
    18     49 65.000 |  4.608  3.031  0.877       7      9     11   0.535
    18     57 60.000 |  3.340  2.083  0.606       8     11     13   0.522
    18     67 55.000 |  2.511  1.517  0.546       8     12     14   0.527
    18     77 50.000 |  2.042  1.323  0.546       8     12     14   0.527
    18     90 45.000 |  2.042  1.323  0.546       8     12     14   0.527
    18    109 40.000 |  1.604  1.050  0.499       9     13     15   0.522
    18    126 35.000 |  1.049  0.693  0.472      11     15     17   0.513
    18    146 30.000 |  1.049  0.693  0.472      11     15     17   0.513
    18    180 25.000 |  0.573  0.505  0.455      12     16     18   0.505
    18    210 20.000 |  0.573  0.505  0.455      12     16     18   0.505
    18    270 15.000 |  0.573  0.505  0.455      12     16     18   0.505
    18    347 10.000 |  0.573  0.505  0.455      12     16     18   0.505
    18    396  5.000 |  0.573  0.505  0.455      12     16     18   0.505
    18    512  0.000 |  0.573  0.505  0.455      12     16     18   0.505
#
